"Link","Year","rank","School","City","State","Division","Level","Conference","Conf_Div","Power_Conference"
"https://s3media.247sports.com/Uploads/Assets/125/651/4651125.png",2015,NA,"Alabama A&M","Huntsville","Alabama",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/125/651/4651125.png",2016,242,"Alabama A&M","Huntsville","Alabama",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/125/651/4651125.png",2017,201,"Alabama A&M","Huntsville","Alabama",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/125/651/4651125.png",2018,226,"Alabama A&M","Huntsville","Alabama",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/125/651/4651125.png",2019,275,"Alabama A&M","Huntsville","Alabama",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/130/651/4651130.png",2010,NA,"Alabama State","Montgomery","Alabama",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/130/651/4651130.png",2011,NA,"Alabama State","Montgomery","Alabama",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/130/651/4651130.png",2012,NA,"Alabama State","Montgomery","Alabama",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/130/651/4651130.png",2013,196,"Alabama State","Montgomery","Alabama",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/130/651/4651130.png",2014,167,"Alabama State","Montgomery","Alabama",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/130/651/4651130.png",2015,216,"Alabama State","Montgomery","Alabama",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/130/651/4651130.png",2016,195,"Alabama State","Montgomery","Alabama",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/130/651/4651130.png",2017,NA,"Alabama State","Montgomery","Alabama",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/130/651/4651130.png",2018,193,"Alabama State","Montgomery","Alabama",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/130/651/4651130.png",2019,235,"Alabama State","Montgomery","Alabama",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/220/648/4648220.png",2010,NA,"Albany","Albany","New York",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/220/648/4648220.png",2011,NA,"Albany","Albany","New York",1,"FCS","FCS",NA,0
